id,timestamp,name,charge,CO2,TC,RH,deviceId
1,1690740040,ETRometer_1_SCD30-0,-1.0,542.97,32.0,39.5,6
2,1690740040,ETRometer_1_SCD30-1,-1.0,461.01,32.15,39.13,6
3,1690740040,ETRometer_1_SCD30-2,-1.0,490.27,32.24,39.03,6
4,1689442663,ETRometer_2_SCD30-0,-1.0,828.5,32.06,41.19,8
5,1689442663,ETRometer_2_SCD30-1,-1.0,903.59,32.03,40.88,8
6,1690740054,ETRometer_1_SCD30-0,-1.0,542.65,31.97,39.47,9
7,1689442663,ETRometer_2_SCD30-2,-1.0,779.49,32.02,41.07,8
8,1690740054,ETRometer_1_SCD30-1,-1.0,460.5,32.15,39.11,9
9,1690740054,ETRometer_1_SCD30-2,-1.0,490.79,32.24,39.02,9
10,1689442676,ETRometer_2_SCD30-0,-1.0,828.27,32.06,41.18,12
11,1690740121,ETRometer_1_SCD30-0,-1.0,539.76,32.01,39.5,13
12,1689442676,ETRometer_2_SCD30-1,-1.0,903.24,32.0,40.89,12
13,1690740121,ETRometer_1_SCD30-1,-1.0,459.33,32.2,39.11,13
14,1689442676,ETRometer_2_SCD30-2,-1.0,779.74,32.02,41.1,12
15,1690740121,ETRometer_1_SCD30-2,-1.0,489.54,32.26,39.03,13
16,1689442688,ETRometer_2_SCD30-0,-1.0,827.08,32.03,41.17,19
17,1690740136,ETRometer_1_SCD30-0,-1.0,539.15,31.97,39.47,22
18,1689442688,ETRometer_2_SCD30-1,-1.0,903.4,32.0,40.89,19
19,1690740136,ETRometer_1_SCD30-1,-1.0,458.39,32.17,39.14,22
20,1689442688,ETRometer_2_SCD30-2,-1.0,780.29,32.0,41.06,19
21,1690740136,ETRometer_1_SCD30-2,-1.0,489.09,32.26,39.05,22
22,1690740150,ETRometer_1_SCD30-0,-1.0,538.76,31.98,39.45,33
23,1689442700,ETRometer_2_SCD30-0,-1.0,826.11,32.07,41.18,34
24,1690740150,ETRometer_1_SCD30-1,-1.0,458.81,32.18,39.11,33
25,1689442700,ETRometer_2_SCD30-1,-1.0,903.15,32.01,40.88,34
26,1690740150,ETRometer_1_SCD30-2,-1.0,489.24,32.26,38.97,33
27,1689442700,ETRometer_2_SCD30-2,-1.0,779.96,32.02,41.06,34
28,1690740164,ETRometer_1_SCD30-0,-1.0,538.28,31.97,39.51,44
29,1689442713,ETRometer_2_SCD30-0,-1.0,825.95,32.06,41.19,46
30,1690740164,ETRometer_1_SCD30-1,-1.0,457.55,32.18,39.12,44
31,1689442713,ETRometer_2_SCD30-1,-1.0,902.96,31.98,40.88,46
32,1690740164,ETRometer_1_SCD30-2,-1.0,488.96,32.23,39.04,44
33,1689442713,ETRometer_2_SCD30-2,-1.0,779.39,32.02,41.06,46
34,1690740164,ETRometer_1_SCD30-0,-1.0,537.01,32.01,39.5,56
35,1689442725,ETRometer_2_SCD30-0,-1.0,825.25,32.06,41.15,58
36,1690740164,ETRometer_1_SCD30-1,-1.0,457.64,32.15,39.09,56
37,1689442725,ETRometer_2_SCD30-1,-1.0,902.47,31.98,40.89,58
38,1690740164,ETRometer_1_SCD30-2,-1.0,488.13,32.26,39.02,56
39,1689442725,ETRometer_2_SCD30-2,-1.0,780.58,32.0,41.03,58
40,1690740193,ETRometer_1_SCD30-0,-1.0,535.45,31.98,39.51,68
41,1689442737,ETRometer_2_SCD30-0,-1.0,824.99,32.03,41.2,69
42,1690740193,ETRometer_1_SCD30-1,-1.0,458.14,32.17,39.06,68
43,1689442737,ETRometer_2_SCD30-1,-1.0,901.72,32.0,40.92,69
44,1690740193,ETRometer_1_SCD30-2,-1.0,488.32,32.24,39.02,68
45,1689442737,ETRometer_2_SCD30-2,-1.0,780.35,32.0,41.09,69
46,1690740207,ETRometer_1_SCD30-0,-1.0,534.25,31.98,39.45,80
47,1689442750,ETRometer_2_SCD30-0,-1.0,824.92,32.04,41.2,81
48,1690740207,ETRometer_1_SCD30-1,-1.0,458.65,32.13,39.11,80
49,1689442750,ETRometer_2_SCD30-1,-1.0,900.0,32.0,40.84,81
50,1690740207,ETRometer_1_SCD30-2,-1.0,488.31,32.27,39.02,80
51,1689442750,ETRometer_2_SCD30-2,-1.0,781.11,32.0,41.07,81
52,1690740225,ETRometer_1_SCD30-0,-1.0,532.7,31.97,39.48,91
53,1689442762,ETRometer_2_SCD30-0,-1.0,824.84,32.03,41.22,92
54,1690740225,ETRometer_1_SCD30-1,-1.0,458.62,32.14,39.08,91
55,1689442762,ETRometer_2_SCD30-1,-1.0,899.71,32.03,40.9,92
