id,name,calibration,location,areaServed,timestamp
1,WeatherStation_v7,,"[12.29216, 55.65173]",urn:ngsi-ld:AgriFarm:006,2023-08-18 10:00:00
2,WeatherStation_v7,,"[12.29216, 55.65173]",urn:ngsi-ld:AgriFarm:006,2023-08-18 11:00:00
3,WeatherStation_v7,,"[12.29216, 55.65173]",urn:ngsi-ld:AgriFarm:006,2023-08-18 12:00:00
4,WeatherStation_v7,,"[12.29216, 55.65173]",urn:ngsi-ld:AgriFarm:006,2023-08-18 13:00:00
5,WeatherStation_v7,,"[12.29216, 55.65173]",urn:ngsi-ld:AgriFarm:006,2023-08-18 14:00:00
6,ETRometer_1,False,,,2023-07-30 18:00:40
7,WeatherStation_v7,,"[12.29216, 55.65173]",urn:ngsi-ld:AgriFarm:006,2023-08-18 15:00:00
8,ETRometer_2,False,,,2023-07-15 17:37:43
9,ETRometer_1,False,,,2023-07-30 18:00:54
10,WeatherStation_v7,,"[12.29216, 55.65173]",urn:ngsi-ld:AgriFarm:006,2023-08-18 16:00:00
11,WeatherStation_v4,,"[11.40517, 44.51433]",urn:ngsi-ld:AgriFarm:004,2023-08-18 10:00:00
12,ETRometer_2,False,,,2023-07-15 17:37:56
13,ETRometer_1,False,,,2023-07-30 18:02:01
14,WeatherStation_v3,,"[11.40969, 44.54938]",urn:ngsi-ld:AgriFarm:003,2023-08-18 10:00:00
15,WeatherStation_v5,,"[11.35339, 44.50046]",urn:ngsi-ld:AgriFarm:005,2023-08-18 10:00:00
16,WeatherStation_v7,,"[12.29216, 55.65173]",urn:ngsi-ld:AgriFarm:006,2023-08-18 17:00:00
17,WeatherStation_v4,,"[11.40517, 44.51433]",urn:ngsi-ld:AgriFarm:004,2023-08-18 11:00:00
18,WeatherStation_v8,,"[5.1729, 51.366]",urn:ngsi-ld:AgriFarm:6991ac61-8db8-4a32-8fef-c462e2369055,2023-08-18 10:00:00
19,ETRometer_2,False,,,2023-07-15 17:38:08
20,WeatherStation_v1,,"[12.851667, 43.686944]",urn:ngsi-ld:AgriFarm:001,2023-08-18 10:00:00
21,WeatherStation_v0,,"[-3.48101, 40.312878]",urn:ngsi-ld:AgriFarm:6991ac61-8db8-4a32-8fef-c462e2369055,2023-08-18 10:00:00
22,ETRometer_1,False,,,2023-07-30 18:02:16
23,WeatherStation_v6,,"[11.47373, 44.41341]",urn:ngsi-ld:AgriFarm:006,2023-08-18 10:00:00
24,WeatherStation_v2,,"[10.809061, 44.88142]",urn:ngsi-ld:AgriFarm:002,2023-08-18 10:00:00
25,WeatherStation_v3,,"[11.40969, 44.54938]",urn:ngsi-ld:AgriFarm:003,2023-08-18 11:00:00
26,WeatherStation_v5,,"[11.35339, 44.50046]",urn:ngsi-ld:AgriFarm:005,2023-08-18 11:00:00
27,WeatherStation_v7,,"[12.29216, 55.65173]",urn:ngsi-ld:AgriFarm:006,2023-08-18 18:00:00
28,WeatherStation_v4,,"[11.40517, 44.51433]",urn:ngsi-ld:AgriFarm:004,2023-08-18 12:00:00
29,WeatherStation_v8,,"[5.1729, 51.366]",urn:ngsi-ld:AgriFarm:6991ac61-8db8-4a32-8fef-c462e2369055,2023-08-18 11:00:00
30,WeatherStation_v0,,"[-3.48101, 40.312878]",urn:ngsi-ld:AgriFarm:6991ac61-8db8-4a32-8fef-c462e2369055,2023-08-18 11:00:00
31,WeatherStation_v1,,"[12.851667, 43.686944]",urn:ngsi-ld:AgriFarm:001,2023-08-18 11:00:00
32,WeatherStation_v6,,"[11.47373, 44.41341]",urn:ngsi-ld:AgriFarm:006,2023-08-18 11:00:00
33,ETRometer_1,False,,,2023-07-30 18:02:30
34,ETRometer_2,False,,,2023-07-15 17:38:20
35,WeatherStation_v2,,"[10.809061, 44.88142]",urn:ngsi-ld:AgriFarm:002,2023-08-18 11:00:00
36,WeatherStation_v3,,"[11.40969, 44.54938]",urn:ngsi-ld:AgriFarm:003,2023-08-18 12:00:00
37,WeatherStation_v5,,"[11.35339, 44.50046]",urn:ngsi-ld:AgriFarm:005,2023-08-18 12:00:00
38,WeatherStation_v7,,"[12.29216, 55.65173]",urn:ngsi-ld:AgriFarm:006,2023-08-18 19:00:00
39,WeatherStation_v4,,"[11.40517, 44.51433]",urn:ngsi-ld:AgriFarm:004,2023-08-18 13:00:00
40,WeatherStation_v8,,"[5.1729, 51.366]",urn:ngsi-ld:AgriFarm:6991ac61-8db8-4a32-8fef-c462e2369055,2023-08-18 12:00:00
41,WeatherStation_v0,,"[-3.48101, 40.312878]",urn:ngsi-ld:AgriFarm:6991ac61-8db8-4a32-8fef-c462e2369055,2023-08-18 12:00:00
42,WeatherStation_v1,,"[12.851667, 43.686944]",urn:ngsi-ld:AgriFarm:001,2023-08-18 12:00:00
43,WeatherStation_v6,,"[11.47373, 44.41341]",urn:ngsi-ld:AgriFarm:006,2023-08-18 12:00:00
44,ETRometer_1,False,,,2023-07-30 18:02:44
45,WeatherStation_v2,,"[10.809061, 44.88142]",urn:ngsi-ld:AgriFarm:002,2023-08-18 12:00:00
46,ETRometer_2,False,,,2023-07-15 17:38:33
47,WeatherStation_v3,,"[11.40969, 44.54938]",urn:ngsi-ld:AgriFarm:003,2023-08-18 13:00:00
48,WeatherStation_v5,,"[11.35339, 44.50046]",urn:ngsi-ld:AgriFarm:005,2023-08-18 13:00:00
49,WeatherStation_v7,,"[12.29216, 55.65173]",urn:ngsi-ld:AgriFarm:006,2023-08-18 20:00:00
50,WeatherStation_v4,,"[11.40517, 44.51433]",urn:ngsi-ld:AgriFarm:004,2023-08-18 14:00:00
51,WeatherStation_v8,,"[5.1729, 51.366]",urn:ngsi-ld:AgriFarm:6991ac61-8db8-4a32-8fef-c462e2369055,2023-08-18 13:00:00
52,WeatherStation_v0,,"[-3.48101, 40.312878]",urn:ngsi-ld:AgriFarm:6991ac61-8db8-4a32-8fef-c462e2369055,2023-08-18 13:00:00
53,WeatherStation_v1,,"[12.851667, 43.686944]",urn:ngsi-ld:AgriFarm:001,2023-08-18 13:00:00
54,WeatherStation_n1,,,,2023-07-30 18:02:15
55,WeatherStation_v6,,"[11.47373, 44.41341]",urn:ngsi-ld:AgriFarm:006,2023-08-18 13:00:00
56,ETRometer_1,False,,,2023-07-30 18:02:44
57,WeatherStation_v2,,"[10.809061, 44.88142]",urn:ngsi-ld:AgriFarm:002,2023-08-18 13:00:00
58,ETRometer_2,False,,,2023-07-15 17:38:45
59,WeatherStation_v3,,"[11.40969, 44.54938]",urn:ngsi-ld:AgriFarm:003,2023-08-18 14:00:00
60,WeatherStation_v5,,"[11.35339, 44.50046]",urn:ngsi-ld:AgriFarm:005,2023-08-18 14:00:00
61,WeatherStation_v4,,"[11.40517, 44.51433]",urn:ngsi-ld:AgriFarm:004,2023-08-18 15:00:00
62,WeatherStation_v7,,"[12.29216, 55.65173]",urn:ngsi-ld:AgriFarm:006,2023-08-18 21:00:00
63,WeatherStation_v0,,"[-3.48101, 40.312878]",urn:ngsi-ld:AgriFarm:6991ac61-8db8-4a32-8fef-c462e2369055,2023-08-18 14:00:00
64,WeatherStation_v8,,"[5.1729, 51.366]",urn:ngsi-ld:AgriFarm:6991ac61-8db8-4a32-8fef-c462e2369055,2023-08-18 14:00:00
65,WeatherStation_v1,,"[12.851667, 43.686944]",urn:ngsi-ld:AgriFarm:001,2023-08-18 14:00:00
66,WeatherStation_v6,,"[11.47373, 44.41341]",urn:ngsi-ld:AgriFarm:006,2023-08-18 14:00:00
67,WeatherStation_v2,,"[10.809061, 44.88142]",urn:ngsi-ld:AgriFarm:002,2023-08-18 14:00:00
68,ETRometer_1,False,,,2023-07-30 18:03:13
69,ETRometer_2,False,,,2023-07-15 17:38:57
70,WeatherStation_v3,,"[11.40969, 44.54938]",urn:ngsi-ld:AgriFarm:003,2023-08-18 15:00:00
71,WeatherStation_v5,,"[11.35339, 44.50046]",urn:ngsi-ld:AgriFarm:005,2023-08-18 15:00:00
72,WeatherStation_v4,,"[11.40517, 44.51433]",urn:ngsi-ld:AgriFarm:004,2023-08-18 16:00:00
73,WeatherStation_v7,,"[12.29216, 55.65173]",urn:ngsi-ld:AgriFarm:006,2023-08-18 21:00:00
74,WeatherStation_v0,,"[-3.48101, 40.312878]",urn:ngsi-ld:AgriFarm:6991ac61-8db8-4a32-8fef-c462e2369055,2023-08-18 15:00:00
75,WeatherStation_v1,,"[12.851667, 43.686944]",urn:ngsi-ld:AgriFarm:001,2023-08-18 15:00:00
76,WeatherStation_v8,,"[5.1729, 51.366]",urn:ngsi-ld:AgriFarm:6991ac61-8db8-4a32-8fef-c462e2369055,2023-08-18 15:00:00
77,WeatherStation_v6,,"[11.47373, 44.41341]",urn:ngsi-ld:AgriFarm:006,2023-08-18 15:00:00
78,WeatherStation_n1,,,,2023-07-30 18:03:03
79,WeatherStation_v2,,"[10.809061, 44.88142]",urn:ngsi-ld:AgriFarm:002,2023-08-18 15:00:00
