id,name,value,type
1,temperature,degC,WeatherStation_v7
2,humidity,%,WeatherStation_v7
3,pressure,mBar,WeatherStation_v7
4,wind_speed,m/s,WeatherStation_v7
5,wind_deg,degNcw,WeatherStation_v7
6,rain,mm,WeatherStation_v7
7,charge,volts,ETRometer_1
8,CO2,ppm,ETRometer_1
9,TC,degC,ETRometer_1
10,RH,%,ETRometer_1
11,Battery_Voltage,volts,WeatherStation_n1
12,Solar_Panel_Voltage,volts,WeatherStation_n1
13,W_vel,m/s,WeatherStation_n1
14,W_dir,deg-N-cw,WeatherStation_n1
15,Temperature,degC,WeatherStation_n1
16,Pressure,hPa,WeatherStation_n1
17,Humidity,%,WeatherStation_n1
18,GasResistance,KOhms,WeatherStation_n1
19,Altitude,m,WeatherStation_n1
20,Ts_1,degC,WeatherStation_n1
21,Ts_2,degC,WeatherStation_n1
22,Ts_3,degC,WeatherStation_n1
23,Us_1,%,WeatherStation_n1
24,Us_2,%,WeatherStation_n1
25,Us_3,%,WeatherStation_n1
